Date,Close
7/23/2015,"$2,102.15"
7/22/2015,"$2,114.15"
7/21/2015,"$2,119.21"
7/20/2015,"$2,128.28"
7/17/2015,"$2,126.64"
7/16/2015,"$2,124.29"
7/15/2015,"$2,107.40"
7/14/2015,"$2,108.96"
7/13/2015,"$2,099.60"
7/10/2015,"$2,076.62"
7/9/2015,"$2,051.31"
7/8/2015,"$2,046.68"
7/7/2015,"$2,081.34"
7/6/2015,"$2,068.76"
7/2/2015,"$2,076.78"
7/1/2015,"$2,077.42"
6/30/2015,"$2,063.11"
6/29/2015,"$2,057.64"
6/26/2015,"$2,101.49"
6/25/2015,"$2,102.31"
6/24/2015,"$2,108.58"
6/23/2015,"$2,124.20"
6/22/2015,"$2,122.85"
6/19/2015,"$2,109.99"
6/18/2015,"$2,121.24"
6/17/2015,"$2,100.44"
6/16/2015,"$2,096.29"
6/15/2015,"$2,084.43"
6/12/2015,"$2,094.11"
6/11/2015,"$2,108.86"
6/10/2015,"$2,105.20"
6/9/2015,"$2,080.15"
6/8/2015,"$2,079.28"
6/5/2015,"$2,092.83"
6/4/2015,"$2,095.84"
6/3/2015,"$2,114.07"
6/2/2015,"$2,109.60"
6/1/2015,"$2,111.73"
5/29/2015,"$2,107.39"
5/28/2015,"$2,120.79"
5/27/2015,"$2,123.48"
5/26/2015,"$2,104.20"
5/22/2015,"$2,126.06"
5/21/2015,"$2,130.82"
5/20/2015,"$2,125.85"
5/19/2015,"$2,127.83"
5/18/2015,"$2,129.20"
5/15/2015,"$2,122.73"
5/14/2015,"$2,121.10"
5/13/2015,"$2,098.48"
5/12/2015,"$2,099.12"
5/11/2015,"$2,105.33"
5/8/2015,"$2,116.10"
5/7/2015,"$2,088.00"
5/6/2015,"$2,080.15"
5/5/2015,"$2,089.46"
5/4/2015,"$2,114.49"
5/1/2015,"$2,108.29"
4/30/2015,"$2,085.51"
4/29/2015,"$2,106.85"
4/28/2015,"$2,114.76"
4/27/2015,"$2,108.92"
4/24/2015,"$2,117.69"
4/23/2015,"$2,112.93"
4/22/2015,"$2,107.96"
4/21/2015,"$2,097.29"
4/20/2015,"$2,100.40"
4/17/2015,"$2,081.18"
4/16/2015,"$2,104.99"
4/15/2015,"$2,106.63"
4/14/2015,"$2,095.84"
4/13/2015,"$2,092.43"
4/10/2015,"$2,102.06"
4/9/2015,"$2,091.18"
4/8/2015,"$2,081.90"
4/7/2015,"$2,076.33"
4/6/2015,"$2,080.62"
4/2/2015,"$2,066.96"
4/1/2015,"$2,059.69"
3/31/2015,"$2,067.89"
3/30/2015,"$2,086.24"
3/27/2015,"$2,061.02"
3/26/2015,"$2,056.15"
3/25/2015,"$2,061.05"
3/24/2015,"$2,091.50"
3/23/2015,"$2,104.42"
3/20/2015,"$2,108.10"
3/19/2015,"$2,089.27"
3/18/2015,"$2,099.50"
3/17/2015,"$2,074.28"
3/16/2015,"$2,081.19"
3/13/2015,"$2,053.40"
3/12/2015,"$2,065.95"
3/11/2015,"$2,040.24"
3/10/2015,"$2,044.16"
3/9/2015,"$2,079.43"
3/6/2015,"$2,071.26"
3/5/2015,"$2,101.04"
3/4/2015,"$2,098.53"
3/3/2015,"$2,107.78"
3/2/2015,"$2,117.39"
2/27/2015,"$2,104.50"
2/26/2015,"$2,110.74"
2/25/2015,"$2,113.86"
2/24/2015,"$2,115.48"
2/23/2015,"$2,109.66"
2/20/2015,"$2,110.30"
2/19/2015,"$2,097.45"
2/18/2015,"$2,099.68"
2/17/2015,"$2,100.34"
2/13/2015,"$2,096.99"
2/12/2015,"$2,088.48"
2/11/2015,"$2,068.53"
2/10/2015,"$2,068.59"
2/9/2015,"$2,046.74"
2/6/2015,"$2,055.47"
2/5/2015,"$2,062.52"
2/4/2015,"$2,041.51"
2/3/2015,"$2,050.03"
2/2/2015,"$2,020.85"
1/30/2015,"$1,994.99"
1/29/2015,"$2,021.25"
1/28/2015,"$2,002.16"
1/27/2015,"$2,029.55"
1/26/2015,"$2,057.09"
1/23/2015,"$2,051.82"
1/22/2015,"$2,063.15"
